id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,people.5.id,people.5.name,people.6.id,people.6.name,people.7.id,people.7.name,227
51,We Like it Hard: Physics,,Pres Boardroom,2018-03-09,20:00,60,Tips and tricks for writing hard science fiction your physics teacher would be proud of.,,,,55,M. Vibbert,20,D. Farren,28,G. Landis,,,,,,,,,,,
53,Minecraft ™Team Battle,,Grant B/C,2018-03-09,21:00,90,"Join us for this fantastic game where monsters come out at night and players survive with skill, mining and strategy. (ages 10+)",,,,,,,,,,,,,,,,,,,,
52,Daughters of Themyscira,,McKinley A,2018-03-09,21:00,60,Superhero themed bellydance performance,,,,,,,,,,,,,,,,,,,,
54,"Vampires, Werewolves, & Gods, Rewriting Legends 1.0",,Pegasus,2018-03-09,21:00,60,"Bookshelves and Amazon pages are full of rewritten legends, from Frankenstein to Dracula and Poseidon. Come discuss the best and worst of these favorite stories.",,,,70,S. Bauer,33,J. Gribble,42,L. Robertson,84,V. Walker,35,J. Troemner,,,,,,,
57,Star Trek RPG: Mirror on the Wall,,Hayes & Pre-Fun,2018-03-09,22:00,120,A Mirror Universe Star Trek Adventure,,,,71,S. Clark,,,,,,,,,,,,,,,
56,NSFW 1.0 Authors Panel,,McKinley B,2018-03-09,22:00,60,"Sex, violence, strong language; writers discuss their own personal limits on controversial subjects.",,,,42,L. Robertson,12,B. Seth,35,J. Troemner,32,J. Blackrose,15,C. Matthews,,,,,,,
58,The Executions Begin at Midnight,UPDATED,McKinley B,2018-03-09,22:00,60,"Authors discuss their favorite bizarre and violent end of one of their characters. Conversation may  segue into Poetic Justice punishments for modern day social crimes, such as using their cell phone  in a theater, leaving the toilet seat up, or purchasing 32 items in the express lane.",,,,21,D. Willis,,,,,,,,,,,,,,,
55,Nerdy Dancers of CLE,,Pegasus,2018-03-09,22:00,60,"Fandom based dance group, the Nerdy Dancers of CLE would like to share its geekiness with you! Celebrating their first anniversary, there is no better time to see the best anime, video game, and counter culture performances with the Nerdy Dancers!",,,,2,A. Holland,65,P. Holland,1,A. Chiasson,41,L. Peterson,24,E. Guilkey,47,M. Feliciano,14,C. Ann,19,D. Doyle,
59,Art Auction,,TBD,2018-03-09,23:00,,TBD,,,,,,,,,,,,,,,,,,,,
60,Gaming (24/7),,Hayes & Pre-Fun,2018-03-10,00:00,1440,,,,,,,,,,,,,,,,,,,,,
61,Security & Ops (24/7),,Virgo,2018-03-10,00:00,1440,,,,,,,,,,,,,,,,,,,,,
62,Berd,,Hayes & Pre-Fun,2018-03-10,08:00,60,“Berd” is a fast pace strategy game for 2-6 players. The game has a simple but unique playing concept with many options for move. It is very entertaining and competitive game that provides you much enjoyment and fun. Please visit www.berdgame.com for more information.,,,,50,M. Mikaelian,,,,,,,,,,,,,,,
63,Pathfinder Society Academy (Ages 6-17),,Hayes & Pre-Fun,2018-03-10,08:00,120,"Welcome to Pathfinder Society Academy, a part of the Pathfinder Society set aside for new players from ages 6 to 17. It is designed to introduce organized play using the Pathfinder RPG Beginner Box and the Pathfinder Roleplaying Game, provide a positive gaming experience for young players, and support youth-friendly content.",,,,5,A. Melone,,,,,,,,,,,,,,,
64,PFS #26: Lost at Bitter End (7-11),,Hayes & Pre-Fun,2018-03-10,08:00,240,"A Pathfinder Society Scenario designed for 7th to 11th level characters (Tiers: 7–8 and 10–11).
 When a Pathfinder Society Priest of Nethys disappears in northern Geb while studying the Mana Wastes, the Society sends you to uncover her whereabouts and find her journals. Arriving in the town of Bitter End, you find it deserted but for a few mysterious creatures never before seen on Golarion. Those creatures quickly lead to more and soon you're embroiled in a mystery that could effect the very fabric of reality. Will you solve the mystery of Bitter End or find yourself lost forever in the Mana Wastes?",,,,29,G. Melone,,,,,,,,,,,,,,,
65,PFS #9-11: The Jarlsblood Witch Saga (5-9),,Hayes & Pre-Fun,2018-03-10,08:00,240,"A Pathfinder Society Scenario designed for levels 5–9.
 The Lands of the Linnorm Kings derive its name from its leaders, each of who can rule after slaying one of the massive, draconic linnorms that inhabit the region. Centuries ago, when a warrior set out to slay a dragon of her own and carve out a kingdom, she returned not with a linnorm's head but that of the local linnorm king. The lone witness insisted she had used ice magic and Irriseni witchcraft to kill the king, an accusation that led to the warrior's execution. It's said that even today, the so-called Jarlsblood Witch prowls the land and snatches up lone travelers.
 Not all believe these tales, most notably the warrior's descendants. One serves as a member of Taldor's Ulfen Guard and has contacted the Society to make a deal: exonerate his defamed ancestor in exchange for intelligence that could shape Taldor's future and avert a disaster. It's up to the PCs to embark into the frozen Lands of the Linnorm Kings to solve an ancient murder mystery, though there's far more at stake than honor.",,,,29,G. Melone,,,,,,,,,,,,,,,
66,PFS #9–14: Down the Verdant Path (1-5),,Hayes & Pre-Fun,2018-03-10,08:00,240,"A Pathfinder Society Scenario designed for levels 1–5.
 Few dare tread through the ancient groves of the Verduran Forest, and those who do settle in these woodlands tend to stay close to their communities. Mystery and danger rarely deter agents of the Pathfinder Society, however. When the semi-retired Pathfinder Falbin ventured from his home deep in the wood, he came across an unexpected pocket of flourishing growth and summer weather in the middle of the wintery forest. He fears that this disturbance is the work of a cabal of druids whose mayhem the Society ended six years ago. Have the druids returned to wreak havoc, or are other forces at play?",,,,29,G. Melone,,,,,,,,,,,,,,,
67,SFS #1-09: Live Exploration Extreme! (1-4),,Hayes & Pre-Fun,2018-03-10,08:00,240,"A Starfinder Society Scenario designed for levels 1–4.
 Although the Society was unaware of what existed within the false moon Salvation's End when it obtained exploration rights, Starfinders have since identified a vast, uncharted megacomplex within. The Society's ready to launch its first major expedition into the interior, yet there is one slight complication: in order to fund its initial survey missions, the Society accepted a grant that requires this first mission be televised by an Eoxian reality show. What is already be a momentous mission for the Society is only exacerbated by the mandatory presence of an unliving camera crew—not to mention the interference of the live studio audience in orbit! Can the PCs uncover the secrets of Salvation's End while upholding the Society's publicity deal (perhaps becoming celebrities in the process)?",,,,29,G. Melone,,,,,,,,,,,,,,,
68,The Lost Gospel of Jelvis (Savage Worlds- Low Life),,Hayes & Pre-Fun,2018-03-10,08:00,240,"Pimflax the Begrudging has unoithed what may be a recording of the voice of Jelvis himself! But now he's vanished, and Bubbles Baryshnikov, an oldster with an interest in the early church of the besequined eminence, wants the gospel found. Oh yeah, and if you can bring back Pimflax, that'd be great too. Bring a Seasoned Low Life character or one will be provided.",,,,26,Erin,,,,,,,,,,,,,,,
73,Registration,,Garfield B/C,2018-03-10,09:00,780,,,,,,,,,,,,,,,,,,,,,
71,ConSuite,,Garfield D/C,2018-03-10,09:00,900,,,,,,,,,,,,,,,,,,,,,
72,Magneto Mayhem!,,Grant B/C,2018-03-10,09:00,90,Tap into your inner mutant and harness the power of metal. Use your new mutant ability to traverse your way through the city and beat the X-Men before they beat you. (ages 5+),,,,,,,,,,,,,,,,,,,,
69,Battle of the Con (all day),,Grant B/C,2018-03-10,09:00,1020,Grab your sidekick and help the con capture all of the villains wreaking havoc around the hotel. Capture them all and save the convention and you and your sidekick will receive a very sweet reward for your hard work. Saturday Only! (all ages),,,,,,,,,,,,,,,,,,,,
70,Berd,,Hayes & Pre-Fun,2018-03-10,09:00,60,“Berd” is a fast pace strategy game for 2-6 players. The game has a simple but unique playing concept with many options for move. It is very entertaining and competitive game that provides you much enjoyment and fun. Please visit www.berdgame.com for more information.,,,,50,M. Mikaelian,,,,,,,,,,,,,,,
75,Exhibit Hall,,Hayes,2018-03-10,10:00,540,,,,,,,,,,,,,,,,,,,,,
74,Berd,,Hayes & Pre-Fun,2018-03-10,10:00,60,“Berd” is a fast pace strategy game for 2-6 players. The game has a simple but unique playing concept with many options for move. It is very entertaining and competitive game that provides you much enjoyment and fun. Please visit www.berdgame.com for more information.,,,,50,M. Mikaelian,,,,,,,,,,,,,,,
77,Obelisk,,Hayes & Pre-Fun,2018-03-10,10:00,60,"Co-op, tower defense, strategy board game designed and published in Cleveland. Ages 10+. Print and Play available: www.ahgames.shop",,,,23,E. Aretskin-Hariton,,,,,,,,,,,,,,,
76,Keep the Hive Alive!,,Hayes & Pre-Fun,2018-03-10,10:00,120,"“Keep the Hive Alive!” is a turn-based strategy game where two to six players serve as the “hive mind” of one honeybee hive each. With the option of collaborating or competing, players must collect enough resources to survive the impending winter (which begins at the end of 12 – 18 rounds depending on the number of players) and keep their hive alive against randomly generated natural and anthropogenic threats. This gorgeous game sports an art style that has not been used in contemporary gaming to date: linoleum cut printing. Our art is done by hand using paper, ink, and hand-drawn and cut reliefs to evoke an earthy, natural feel. All of our gaming mechanics are derived from actual honeybee behavior so that this game can serve as a teaching tool as well as a source of fun, rivalry, and partnership among friends and family. “Keep the Hive Alive!” emphasizes replayability: you would have to play this game hundreds of times to recreate a scenario which you have seen before.",,,,7,A. Prybyla,,,,,,,,,,,,,,,
78,Pathfinder Society Academy (Ages 6-17),,Hayes & Pre-Fun,2018-03-10,10:00,120,"Welcome to Pathfinder Society Academy, a part of the Pathfinder Society set aside for new players from ages 6 to 17. It is designed to introduce organized play using the Pathfinder RPG Beginner Box and the Pathfinder Roleplaying Game, provide a positive gaming experience for young players, and support youth-friendly content.",,,,5,A. Melone,,,,,,,,,,,,,,,
80,The Haunted Mansion,,Hayes & Pre-Fun,2018-03-10,10:00,240,"Investigating a disturbance for a noble has gone horribly wrong. Once you step inside the house everything changed. Trapped inside the house the character mus explore an unknown location to get the answer to what is keeping them trapped here. Is it a puzzle, is it a monster? What foul magic has occurred here? Is it fiendish, is it the will of the gods? Or is it something else? Characters requirements are 5th level, official Dungeons and Dragons 5th edition. Special pre-generated characters will be available upon request.",,,,61,Nerdarchist Ted,,,,,,,,,,,,,,,
81,There Are No Saints in Fiction,,McKinley A,2018-03-10,10:00,60,All fictional characters MUST have flaws; otherwise they are boring.,,,,46,M. Engelhardt,42,L. Robertson,73,S. Swann,21,D. Willis,15,C. Matthews,9,B. Doran,,,,,
79,RPG's: Real Life Advantages,,Pegasus,2018-03-10,10:00,60,A discussion of the benefits of tabletop RPG's and how they can help you in the real world.,,,,39,K. Tomb,,,,,,,,,,,,,,,
82,Super Costume Build Part 1,,Grant B/C,2018-03-10,10:45,60,Every villain and hero has a secret identity. Stop in a create your very own mask to protect yourself. (ages 6+),,,,,,,,,,,,,,,,,,,,
85,Author Alley,,Grant A,2018-03-10,11:00,660,,,,,,,,,,,,,,,,,,,,,
87,Berd,,Hayes & Pre-Fun,2018-03-10,11:00,60,“Berd” is a fast pace strategy game for 2-6 players. The game has a simple but unique playing concept with many options for move. It is very entertaining and competitive game that provides you much enjoyment and fun. Please visit www.berdgame.com for more information.,,,,50,M. Mikaelian,,,,,,,,,,,,,,,
89,Obelisk,,Hayes & Pre-Fun,2018-03-10,11:00,60,"Co-op, tower defense, strategy board game designed and published in Cleveland. Ages 10+. Print and Play available: www.ahgames.shop",,,,23,E. Aretskin-Hariton,,,,,,,,,,,,,,,
90,Red Scare and other Hidden-Role Games,,Hayes & Pre-Fun,2018-03-10,11:00,60,"It's 1951. America is thick with fear and paranoia. It's up to you to scour the files and find who may be promoting the Soviet agenda... but double agents are everywhere! The only way to discover the truth is with a pair of decoder glasses.
 Play Red Scare (with its designer Ben Kanelos) and some of the freshest hidden role games on the market (and some yet to be released). Titles on hand will include Werewolf, Two Rooms and a Boom, Coup, Bitten, and others!",,,,11,B. Kanelos,,,,,,,,,,,,,,,
83,Anime's Greatest Hits,,McKinley A,2018-03-10,11:00,60,"Is this just an excuse to listen to some of our favorite music from some amazing anime? Yes, however anime has amazing music provided to set the overall tone of the show. Whether it’s an opening or closing theme, music for a certain character, or the random songs that play when things gets intense (I’m looking at you Bleach). Join us in listening to some of anime’s greatest hits",,,,40,L. Frazier,,,,,,,,,,,,,,,
84,Art Show,,McKinley C,2018-03-10,11:00,540,,,,,,,,,,,,,,,,,,,,,
86,Author Showcase (Session 2),,Pegasus,2018-03-10,11:00,60,"Listen to your favorite authors read excerpts from released and soon to be released works. Find your next great read. Ask questions, and discover the new worlds.",,,,12,B. Seth,36,K. Herkes,77,T. Maynard,21,D. Willis,9,B. Doran,,,,,,,
